module module 5 6
) ) 52 36
) ) 52 37
; ; 52 38
wire wire 54 4
[ [ 54 6
31 number 54 8
: : 54 9
0 number 54 10
] ] 54 11
total token 54 17
= = 54 19
{ { 54 22
{ { 54 23
16 number 54 25
{ { 54 26
sin0 token 54 30
[ [ 54 31
15 number 54 33
] ] 54 34
} } 54 35
} } 54 36
, , 54 37
sin0 token 54 41
} } 54 42
* * 54 43
{ { 54 44
{ { 54 45
16 number 54 47
{ { 54 48
gain0 token 54 53
[ [ 54 54
15 number 54 56
] ] 54 57
} } 54 58
} } 54 59
, , 54 60
gain0 token 54 65
} } 54 66
+ + 55 21
{ { 55 22
{ { 55 23
16 number 55 25
{ { 55 26
sin1 token 55 30
[ [ 55 31
15 number 55 33
] ] 55 34
} } 55 35
} } 55 36
, , 55 37
sin1 token 55 41
} } 55 42
* * 55 43
{ { 55 44
{ { 55 45
16 number 55 47
{ { 55 48
gain1 token 55 53
[ [ 55 54
15 number 55 56
] ] 55 57
} } 55 58
} } 55 59
, , 55 60
gain1 token 55 65
} } 55 66
+ + 56 21
{ { 56 22
{ { 56 23
16 number 56 25
{ { 56 26
sin2 token 56 30
[ [ 56 31
15 number 56 33
] ] 56 34
} } 56 35
} } 56 36
, , 56 37
sin2 token 56 41
} } 56 42
* * 56 43
{ { 56 44
{ { 56 45
16 number 56 47
{ { 56 48
gain2 token 56 53
[ [ 56 54
15 number 56 56
] ] 56 57
} } 56 58
} } 56 59
, , 56 60
gain2 token 56 65
} } 56 66
; ; 57 21
wire wire 58 4
[ [ 58 6
15 number 58 8
: : 58 9
0 number 58 10
] ] 58 11
outmix_wire token 58 23
= = 58 25
total token 58 31
[ [ 58 32
31 number 58 34
: : 58 35
16 number 58 37
] ] 58 38
; ; 58 39
always always 59 6
@ @ 59 8
( ( 59 9
posedge posedge 59 16
clk token 59 20
) ) 59 21
outmix token 59 28
<= sm_eq 59 31
outmix_wire token 59 43
; ; 59 44
regfile token 62 7
regfile token 62 15
( ( 62 17
. . 63 6
clk token 63 9
( ( 63 10
clk token 63 13
) ) 63 14
, , 63 16
. . 63 17
rst_n token 63 22
( ( 63 23
rst_n token 63 28
) ) 63 29
, , 64 5
. . 64 6
paddr token 64 11
( ( 64 12
paddr token 64 17
[ [ 64 18
5 number 64 19
: : 64 20
0 number 64 21
] ] 64 22
) ) 64 23
, , 65 5
. . 65 6
prdata token 65 12
( ( 65 13
prdata token 65 19
[ [ 65 20
31 number 65 22
: : 65 23
0 number 65 24
] ] 65 25
) ) 65 26
, , 66 5
. . 66 6
psel token 66 10
( ( 66 11
psel token 66 15
) ) 66 16
, , 67 5
. . 67 6
psize token 67 11
( ( 67 12
psize token 67 17
[ [ 67 18
1 number 67 19
: : 67 20
0 number 67 21
] ] 67 22
) ) 67 23
, , 68 5
. . 68 6
pwdata token 68 12
( ( 68 13
pwdata token 68 19
[ [ 68 20
31 number 68 22
: : 68 23
0 number 68 24
] ] 68 25
) ) 68 26
, , 69 5
. . 69 6
pwrite token 69 12
( ( 69 13
pwrite token 69 19
) ) 69 20
, , 71 5
. . 71 6
enables token 71 13
( ( 71 14
enables token 71 21
[ [ 71 22
15 number 71 24
: : 71 25
0 number 71 26
] ] 71 27
) ) 71 28
, , 72 5
. . 72 6
gain0 token 72 11
( ( 72 12
gain0 token 72 17
[ [ 72 18
15 number 72 20
: : 72 21
0 number 72 22
] ] 72 23
) ) 72 24
, , 73 5
. . 73 6
gain1 token 73 11
( ( 73 12
gain1 token 73 17
[ [ 73 18
15 number 73 20
: : 73 21
0 number 73 22
] ] 73 23
) ) 73 24
, , 74 5
. . 74 6
jump0 token 74 11
( ( 74 12
jump0 token 74 17
[ [ 74 18
10 number 74 20
: : 74 21
0 number 74 22
] ] 74 23
) ) 74 24
, , 75 5
. . 75 6
jump1 token 75 11
( ( 75 12
jump1 token 75 17
[ [ 75 18
10 number 75 20
: : 75 21
0 number 75 22
] ] 75 23
) ) 75 24
, , 76 5
. . 76 6
jump2 token 76 11
( ( 76 12
jump2 token 76 17
[ [ 76 18
10 number 76 20
: : 76 21
0 number 76 22
] ] 76 23
) ) 76 24
, , 77 5
. . 77 6
start0 token 77 12
( ( 77 13
start0 token 77 19
[ [ 77 20
10 number 77 22
: : 77 23
0 number 77 24
] ] 77 25
) ) 77 26
, , 78 5
. . 78 6
start1 token 78 12
( ( 78 13
start1 token 78 19
[ [ 78 20
10 number 78 22
: : 78 23
0 number 78 24
] ] 78 25
) ) 78 26
, , 79 5
. . 79 6
start2 token 79 12
( ( 79 13
start2 token 79 19
[ [ 79 20
10 number 79 22
: : 79 23
0 number 79 24
] ] 79 25
) ) 79 26
) ) 80 1
; ; 80 2
endmodule endmodule 85 9
