module module 1 6
[ [ 58 6
7 number 58 7
: : 58 8
0 number 58 9
] ] 58 10
rxfifo1 token 58 18
= = 58 20
rxfifo token 58 27
[ [ 58 28
1 number 58 29
] ] 58 30
; ; 58 31
wire wire 59 4
[ [ 59 6
7 number 59 7
: : 59 8
0 number 59 9
] ] 59 10
rxfifo2 token 59 18
= = 59 20
rxfifo token 59 27
[ [ 59 28
2 number 59 29
] ] 59 30
; ; 59 31
wire wire 60 4
[ [ 60 6
7 number 60 7
: : 60 8
0 number 60 9
] ] 60 10
rxfifo3 token 60 18
= = 60 20
rxfifo token 60 27
[ [ 60 28
3 number 60 29
] ] 60 30
; ; 60 31
reg reg 61 3
command_pulse token 61 17
; ; 61 18
always always 62 6
@ @ 62 8
( ( 62 9
posedge posedge 62 16
clk token 62 20
) ) 62 21
begin begin 62 27
command_pulse token 63 17
<= sm_eq 63 20
rx_valid token 63 29
; ; 63 30
if if 64 6
( ( 64 8
rx_valid token 64 16
) ) 64 17
begin begin 64 23
rxfifo token 65 14
[ [ 65 15
0 number 65 16
] ] 65 17
<= sm_eq 65 19
rxdata token 65 25
; ; 65 26
rxfifo token 66 14
[ [ 66 15
1 number 66 16
] ] 66 17
<= sm_eq 66 19
rxfifo token 66 25
[ [ 66 26
0 number 66 27
] ] 66 28
; ; 66 29
rxfifo token 67 14
[ [ 67 15
2 number 67 16
] ] 67 17
<= sm_eq 67 19
rxfifo token 67 25
[ [ 67 26
1 number 67 27
] ] 67 28
; ; 67 29
rxfifo token 68 14
[ [ 68 15
3 number 68 16
] ] 68 17
<= sm_eq 68 19
rxfifo token 68 25
[ [ 68 26
2 number 68 27
] ] 68 28
; ; 68 29
rxfifo token 69 14
[ [ 69 15
4 number 69 16
] ] 69 17
<= sm_eq 69 19
rxfifo token 69 25
[ [ 69 26
3 number 69 27
] ] 69 28
; ; 69 29
rxfifo token 70 14
[ [ 70 15
5 number 70 16
] ] 70 17
<= sm_eq 70 19
rxfifo token 70 25
[ [ 70 26
4 number 70 27
] ] 70 28
; ; 70 29
rxfifo token 71 14
[ [ 71 15
6 number 71 16
] ] 71 17
<= sm_eq 71 19
rxfifo token 71 25
[ [ 71 26
5 number 71 27
] ] 71 28
; ; 71 29
rxfifo token 72 14
[ [ 72 15
7 number 72 16
] ] 72 17
<= sm_eq 72 19
rxfifo token 72 25
[ [ 72 26
6 number 72 27
] ] 72 28
; ; 72 29
rxfifo token 73 14
[ [ 73 15
8 number 73 16
] ] 73 17
<= sm_eq 73 19
rxfifo token 73 25
[ [ 73 26
7 number 73 27
] ] 73 28
; ; 73 29
rxfifo token 74 14
[ [ 74 15
9 number 74 16
] ] 74 17
<= sm_eq 74 19
rxfifo token 74 25
[ [ 74 26
8 number 74 27
] ] 74 28
; ; 74 29
rxfifo token 75 14
[ [ 75 15
10 number 75 17
] ] 75 18
<= sm_eq 75 20
rxfifo token 75 26
[ [ 75 27
9 number 75 28
] ] 75 29
; ; 75 30
rxfifo token 76 14
[ [ 76 15
11 number 76 17
] ] 76 18
<= sm_eq 76 20
rxfifo token 76 26
[ [ 76 27
10 number 76 29
] ] 76 30
; ; 76 31
rxfifo token 77 14
[ [ 77 15
12 number 77 17
] ] 77 18
<= sm_eq 77 20
rxfifo token 77 26
[ [ 77 27
11 number 77 29
] ] 77 30
; ; 77 31
rxfifo token 78 14
[ [ 78 15
13 number 78 17
] ] 78 18
<= sm_eq 78 20
rxfifo token 78 26
[ [ 78 27
12 number 78 29
] ] 78 30
; ; 78 31
rxfifo token 79 14
[ [ 79 15
14 number 79 17
] ] 79 18
<= sm_eq 79 20
rxfifo token 79 26
[ [ 79 27
13 number 79 29
] ] 79 30
; ; 79 31
rxfifo token 80 14
[ [ 80 15
15 number 80 17
] ] 80 18
<= sm_eq 80 20
rxfifo token 80 26
[ [ 80 27
14 number 80 29
] ] 80 30
; ; 80 31
rxfifo token 81 14
[ [ 81 15
16 number 81 17
] ] 81 18
<= sm_eq 81 20
rxfifo token 81 26
[ [ 81 27
15 number 81 29
] ] 81 30
; ; 81 31
rxfifo token 82 14
[ [ 82 15
17 number 82 17
] ] 82 18
<= sm_eq 82 20
rxfifo token 82 26
[ [ 82 27
16 number 82 29
] ] 82 30
; ; 82 31
end end 83 7
end end 84 3
wire wire 87 4
question_valid token 87 19
= = 87 21
( ( 87 23
rxfifo token 87 29
[ [ 87 30
1 number 87 31
] ] 87 32
== eq_eq 87 34
QUESTION_CHAR token 87 47
) ) 87 48
&& and_and 87 50
( ( 87 51
rxfifo token 87 57
[ [ 87 58
0 number 87 59
] ] 87 60
== eq_eq 87 62
DOT_CHAR token 87 70
) ) 87 71
&& and_and 87 74
command_pulse token 87 88
; ; 87 89
wire wire 88 4
read_command_valid token 88 23
= = 88 25
( ( 88 27
rxfifo token 88 33
[ [ 88 34
5 number 88 35
] ] 88 36
== eq_eq 88 38
DOTS_CHAR token 88 47
) ) 88 48
&& and_and 88 50
( ( 88 51
rxfifo token 88 57
[ [ 88 58
0 number 88 59
] ] 88 60
== eq_eq 88 62
DOT_CHAR token 88 70
) ) 88 71
&& and_and 88 74
command_pulse token 88 88
&& and_and 89 6
hexchar token 89 13
( ( 89 14
rxfifo token 89 20
[ [ 89 21
1 number 89 22
] ] 89 23
) ) 89 24
&& and_and 90 6
hexchar token 90 13
( ( 90 14
rxfifo token 90 20
[ [ 90 21
2 number 90 22
] ] 90 23
) ) 90 24
&& and_and 91 6
hexchar token 91 13
( ( 91 14
rxfifo token 91 20
[ [ 91 21
3 number 91 22
] ] 91 23
) ) 91 24
&& and_and 92 6
hexchar token 92 13
( ( 92 14
rxfifo token 92 20
[ [ 92 21
4 number 92 22
] ] 92 23
) ) 92 24
; ; 93 5
wire wire 95 4
long_read_command_valid token 95 28
= = 95 30
( ( 95 32
rxfifo token 95 38
[ [ 95 39
7 number 95 40
] ] 95 41
== eq_eq 95 43
DOTS_CHAR token 95 52
) ) 95 53
&& and_and 95 55
( ( 95 56
rxfifo token 95 62
[ [ 95 63
0 number 95 64
] ] 95 65
== eq_eq 95 67
DOT_CHAR token 95 75
) ) 95 76
&& and_and 95 79
command_pulse token 95 93
&& and_and 96 6
hexchar token 96 13
( ( 96 14
rxfifo token 96 20
[ [ 96 21
1 number 96 22
] ] 96 23
) ) 96 24
&& and_and 97 6
hexchar token 97 13
( ( 97 14
rxfifo token 97 20
[ [ 97 21
2 number 97 22
] ] 97 23
) ) 97 24
&& and_and 98 6
hexchar token 98 13
( ( 98 14
rxfifo token 98 20
[ [ 98 21
3 number 98 22
] ] 98 23
) ) 98 24
&& and_and 99 6
hexchar token 99 13
( ( 99 14
rxfifo token 99 20
[ [ 99 21
4 number 99 22
] ] 99 23
) ) 99 24
&& and_and 100 6
hexchar token 100 13
( ( 100 14
rxfifo token 100 20
[ [ 100 21
5 number 100 22
] ] 100 23
) ) 100 24
&& and_and 101 6
hexchar token 101 13
( ( 101 14
rxfifo token 101 20
[ [ 101 21
6 number 101 22
] ] 101 23
) ) 101 24
; ; 102 5
wire wire 106 4
write_regs_command_valid token 106 29
= = 106 31
( ( 106 33
rxfifo token 106 39
[ [ 106 40
13 number 106 42
] ] 106 43
== eq_eq 106 45
EQ_CHAR token 106 52
) ) 106 53
&& and_and 106 55
( ( 106 56
rxfifo token 106 62
[ [ 106 63
0 number 106 64
] ] 106 65
== eq_eq 106 67
DOT_CHAR token 106 75
) ) 106 76
&& and_and 106 79
command_pulse token 106 93
&& and_and 107 6
hexchar token 107 13
( ( 107 14
rxfifo token 107 20
[ [ 107 21
1 number 107 22
] ] 107 23
) ) 107 24
&& and_and 108 6
hexchar token 108 13
( ( 108 14
rxfifo token 108 20
[ [ 108 21
2 number 108 22
] ] 108 23
) ) 108 24
&& and_and 109 6
hexchar token 109 13
( ( 109 14
rxfifo token 109 20
[ [ 109 21
3 number 109 22
] ] 109 23
) ) 109 24
&& and_and 110 6
hexchar token 110 13
( ( 110 14
rxfifo token 110 20
[ [ 110 21
4 number 110 22
] ] 110 23
) ) 110 24
&& and_and 111 6
hexchar token 111 13
( ( 111 14
rxfifo token 111 20
[ [ 111 21
5 number 111 22
] ] 111 23
) ) 111 24
&& and_and 112 6
hexchar token 112 13
( ( 112 14
rxfifo token 112 20
[ [ 112 21
6 number 112 22
] ] 112 23
) ) 112 24
&& and_and 113 6
hexchar token 113 13
( ( 113 14
rxfifo token 113 20
[ [ 113 21
7 number 113 22
] ] 113 23
) ) 113 24
&& and_and 114 6
hexchar token 114 13
( ( 114 14
rxfifo token 114 20
[ [ 114 21
8 number 114 22
] ] 114 23
) ) 114 24
&& and_and 115 6
hexchar token 115 13
( ( 115 14
rxfifo token 115 20
[ [ 115 21
9 number 115 22
] ] 115 23
) ) 115 24
&& and_and 116 6
hexchar token 116 13
( ( 116 14
rxfifo token 116 20
[ [ 116 21
10 number 116 23
] ] 116 24
) ) 116 25
&& and_and 117 6
hexchar token 117 13
( ( 117 14
rxfifo token 117 20
[ [ 117 21
11 number 117 23
] ] 117 24
) ) 117 25
&& and_and 118 6
hexchar token 118 13
( ( 118 14
rxfifo token 118 20
[ [ 118 21
12 number 118 23
] ] 118 24
) ) 118 25
; ; 119 5
wire wire 122 4
write_mem_command_valid token 122 28
= = 122 30
( ( 122 32
rxfifo token 122 38
[ [ 122 39
17 number 122 41
] ] 122 42
== eq_eq 122 44
GT_CHAR token 122 51
) ) 122 52
&& and_and 122 54
( ( 122 55
rxfifo token 122 61
[ [ 122 62
0 number 122 63
] ] 122 64
== eq_eq 122 66
DOT_CHAR token 122 74
) ) 122 75
&& and_and 122 78
command_pulse token 122 92
&& and_and 123 6
hexchar token 123 13
( ( 123 14
rxfifo token 123 20
[ [ 123 21
1 number 123 22
] ] 123 23
) ) 123 24
&& and_and 124 6
hexchar token 124 13
( ( 124 14
rxfifo token 124 20
[ [ 124 21
2 number 124 22
] ] 124 23
) ) 124 24
&& and_and 125 6
hexchar token 125 13
( ( 125 14
rxfifo token 125 20
[ [ 125 21
3 number 125 22
] ] 125 23
) ) 125 24
&& and_and 126 6
hexchar token 126 13
( ( 126 14
rxfifo token 126 20
[ [ 126 21
4 number 126 22
] ] 126 23
) ) 126 24
&& and_and 127 6
hexchar token 127 13
( ( 127 14
rxfifo token 127 20
[ [ 127 21
5 number 127 22
] ] 127 23
) ) 127 24
&& and_and 128 6
hexchar token 128 13
( ( 128 14
rxfifo token 128 20
[ [ 128 21
6 number 128 22
] ] 128 23
) ) 128 24
&& and_and 129 6
hexchar token 129 13
( ( 129 14
rxfifo token 129 20
[ [ 129 21
7 number 129 22
] ] 129 23
) ) 129 24
&& and_and 130 6
hexchar token 130 13
( ( 130 14
rxfifo token 130 20
[ [ 130 21
8 number 130 22
] ] 130 23
) ) 130 24
&& and_and 131 6
hexchar token 131 13
( ( 131 14
rxfifo token 131 20
[ [ 131 21
9 number 131 22
] ] 131 23
) ) 131 24
&& and_and 132 6
hexchar token 132 13
( ( 132 14
rxfifo token 132 20
[ [ 132 21
10 number 132 23
] ] 132 24
) ) 132 25
&& and_and 133 6
hexchar token 133 13
( ( 133 14
rxfifo token 133 20
[ [ 133 21
11 number 133 23
] ] 133 24
) ) 133 25
&& and_and 134 6
hexchar token 134 13
( ( 134 14
rxfifo token 134 20
[ [ 134 21
12 number 134 23
] ] 134 24
) ) 134 25
&& and_and 135 6
hexchar token 135 13
( ( 135 14
rxfifo token 135 20
[ [ 135 21
13 number 135 23
] ] 135 24
) ) 135 25
&& and_and 136 6
hexchar token 136 13
( ( 136 14
rxfifo token 136 20
[ [ 136 21
14 number 136 23
] ] 136 24
) ) 136 25
&& and_and 137 6
hexchar token 137 13
( ( 137 14
rxfifo token 137 20
[ [ 137 21
15 number 137 23
] ] 137 24
) ) 137 25
&& and_and 138 6
hexchar token 138 13
( ( 138 14
rxfifo token 138 20
[ [ 138 21
16 number 138 23
] ] 138 24
) ) 138 25
; ; 139 5
wire wire 145 4
[ [ 145 6
15 number 145 8
: : 145 9
0 number 145 10
] ] 145 11
helper0 token 145 19
= = 145 21
{ { 145 22
hexval token 145 29
( ( 145 30
rxfifo token 145 36
[ [ 145 37
7 number 145 38
] ] 145 39
) ) 145 40
, , 145 41
hexval token 145 47
( ( 145 48
rxfifo token 145 54
[ [ 145 55
6 number 145 56
] ] 145 57
) ) 145 58
, , 145 59
hexval token 145 65
( ( 145 66
rxfifo token 145 72
[ [ 145 73
5 number 145 74
] ] 145 75
) ) 145 76
, , 145 77
hexval token 145 83
( ( 145 84
rxfifo token 145 90
[ [ 145 91
4 number 145 92
] ] 145 93
) ) 145 94
} } 145 95
; ; 145 96
wire wire 146 4
[ [ 146 6
15 number 146 8
: : 146 9
0 number 146 10
] ] 146 11
read_addr token 146 21
= = 146 23
{ { 146 24
hexval token 146 31
( ( 146 32
rxfifo token 146 38
[ [ 146 39
4 number 146 40
] ] 146 41
) ) 146 42
, , 146 43
hexval token 146 49
( ( 146 50
rxfifo token 146 56
[ [ 146 57
3 number 146 58
] ] 146 59
) ) 146 60
, , 146 61
hexval token 146 67
( ( 146 68
rxfifo token 146 74
[ [ 146 75
2 number 146 76
] ] 146 77
) ) 146 78
, , 146 79
hexval token 146 85
( ( 146 86
rxfifo token 146 92
[ [ 146 93
1 number 146 94
] ] 146 95
) ) 146 96
} } 146 97
; ; 146 98
wire wire 147 4
[ [ 147 6
15 number 147 8
: : 147 9
0 number 147 10
] ] 147 11
long_read_addr token 147 26
= = 147 28
{ { 147 29
hexval token 147 36
( ( 147 37
rxfifo token 147 43
[ [ 147 44
6 number 147 45
] ] 147 46
) ) 147 47
, , 147 48
hexval token 147 54
( ( 147 55
rxfifo token 147 61
[ [ 147 62
5 number 147 63
] ] 147 64
) ) 147 65
, , 147 66
hexval token 147 72
( ( 147 73
rxfifo token 147 79
[ [ 147 80
4 number 147 81
] ] 147 82
) ) 147 83
, , 147 84
hexval token 147 90
( ( 147 91
rxfifo token 147 97
[ [ 147 98
3 number 147 99
] ] 147 100
) ) 147 101
} } 147 102
; ; 147 103
wire wire 148 4
[ [ 148 6
7 number 148 7
: : 148 8
0 number 148 9
] ] 148 10
long_count_read token 148 26
= = 148 28
{ { 148 31
hexval token 148 38
( ( 148 39
rxfifo token 148 45
[ [ 148 46
2 number 148 47
] ] 148 48
) ) 148 49
, , 148 50
hexval token 148 56
( ( 148 57
rxfifo token 148 63
[ [ 148 64
1 number 148 65
] ] 148 66
) ) 148 67
} } 148 68
; ; 148 69
wire wire 149 4
[ [ 149 6
15 number 149 8
: : 149 9
0 number 149 10
] ] 149 11
regs_wr_addr token 149 24
= = 149 26
{ { 149 28
hexval token 149 35
( ( 149 36
rxfifo token 149 42
[ [ 149 43
12 number 149 45
] ] 149 46
) ) 149 47
, , 149 48
hexval token 149 54
( ( 149 55
rxfifo token 149 61
[ [ 149 62
11 number 149 64
] ] 149 65
) ) 149 66
, , 149 67
hexval token 149 73
( ( 149 74
rxfifo token 149 80
[ [ 149 81
10 number 149 83
] ] 149 84
) ) 149 85
, , 149 86
hexval token 149 92
( ( 149 93
rxfifo token 149 99
[ [ 149 100
9 number 149 101
] ] 149 102
) ) 149 103
} } 149 104
; ; 149 105
wire wire 150 4
[ [ 150 6
15 number 150 8
: : 150 9
0 number 150 10
] ] 150 11
mem_wr_addr token 150 23
= = 150 25
{ { 150 27
hexval token 150 34
( ( 150 35
rxfifo token 150 41
[ [ 150 42
16 number 150 44
] ] 150 45
) ) 150 46
, , 150 47
hexval token 150 53
( ( 150 54
rxfifo token 150 60
[ [ 150 61
15 number 150 63
] ] 150 64
) ) 150 65
, , 150 66
hexval token 150 72
( ( 150 73
rxfifo token 150 79
[ [ 150 80
14 number 150 82
] ] 150 83
) ) 150 84
, , 150 85
hexval token 150 91
( ( 150 92
rxfifo token 150 98
[ [ 150 99
13 number 150 101
] ] 150 102
) ) 150 103
} } 150 104
; ; 150 105
wire wire 151 4
[ [ 151 6
31 number 151 8
: : 151 9
0 number 151 10
] ] 151 11
pwdata token 151 18
= = 151 20
{ { 152 10
hexval token 153 17
( ( 153 18
rxfifo token 153 24
[ [ 153 25
8 number 153 26
] ] 153 27
) ) 153 28
, , 153 29
hexval token 153 35
( ( 153 36
rxfifo token 153 42
[ [ 153 43
7 number 153 44
] ] 153 45
) ) 153 46
, , 153 47
hexval token 153 53
( ( 153 54
rxfifo token 153 60
[ [ 153 61
6 number 153 62
] ] 153 63
) ) 153 64
, , 153 65
hexval token 153 71
( ( 153 72
rxfifo token 153 78
[ [ 153 79
5 number 153 80
] ] 153 81
) ) 153 82
, , 154 12
hexval token 154 18
( ( 154 19
rxfifo token 154 25
[ [ 154 26
4 number 154 27
] ] 154 28
) ) 154 29
, , 154 30
hexval token 154 36
( ( 154 37
rxfifo token 154 43
[ [ 154 44
3 number 154 45
] ] 154 46
) ) 154 47
, , 154 48
hexval token 154 54
( ( 154 55
rxfifo token 154 61
[ [ 154 62
2 number 154 63
] ] 154 64
) ) 154 65
, , 154 66
hexval token 154 72
( ( 154 73
rxfifo token 154 79
[ [ 154 80
1 number 154 81
] ] 154 82
) ) 154 83
} } 155 10
; ; 155 11
assign assign 156 6
ram_wdata token 156 16
= = 156 18
{ { 157 10
hexval token 158 17
( ( 158 18
rxfifo token 158 24
[ [ 158 25
12 number 158 27
] ] 158 28
) ) 158 29
, , 158 30
hexval token 158 36
( ( 158 37
rxfifo token 158 43
[ [ 158 44
11 number 158 46
] ] 158 47
) ) 158 48
, , 158 49
hexval token 158 55
( ( 158 56
rxfifo token 158 62
[ [ 158 63
10 number 158 65
] ] 158 66
) ) 158 67
, , 158 68
hexval token 158 74
( ( 158 75
rxfifo token 158 81
[ [ 158 82
9 number 158 83
] ] 158 84
) ) 158 85
, , 159 12
hexval token 159 18
( ( 159 19
rxfifo token 159 25
[ [ 159 26
8 number 159 27
] ] 159 28
) ) 159 29
, , 159 30
hexval token 159 36
( ( 159 37
rxfifo token 159 43
[ [ 159 44
7 number 159 45
] ] 159 46
) ) 159 47
, , 159 48
hexval token 159 54
( ( 159 55
rxfifo token 159 61
[ [ 159 62
6 number 159 63
] ] 159 64
) ) 159 65
, , 159 66
hexval token 159 72
( ( 159 73
rxfifo token 159 79
[ [ 159 80
5 number 159 81
] ] 159 82
) ) 159 83
, , 160 12
hexval token 160 18
( ( 160 19
rxfifo token 160 25
[ [ 160 26
4 number 160 27
] ] 160 28
) ) 160 29
, , 160 30
hexval token 160 36
( ( 160 37
rxfifo token 160 43
[ [ 160 44
3 number 160 45
] ] 160 46
) ) 160 47
, , 160 48
hexval token 160 54
( ( 160 55
rxfifo token 160 61
[ [ 160 62
2 number 160 63
] ] 160 64
) ) 160 65
, , 160 66
hexval token 160 72
( ( 160 73
rxfifo token 160 79
[ [ 160 80
1 number 160 81
] ] 160 82
) ) 160 83
} } 161 10
; ; 161 11
wire wire 163 4
[ [ 163 6
15 number 163 8
: : 163 9
0 number 163 10
] ] 163 11
enables token 163 19
; ; 163 20
reg reg 164 3
[ [ 164 5
11 number 164 7
: : 164 8
0 number 164 9
] ] 164 10
keep_alive_count token 164 27
; ; 164 28
always always 165 6
@ @ 165 8
( ( 165 9
posedge posedge 165 16
clk token 165 20
or or 165 23
negedge negedge 165 31
resetn token 165 38
) ) 165 39
begin begin 165 45
if if 166 6
( ( 166 8
! ! 166 9
resetn token 166 15
) ) 166 16
begin begin 166 22
keep_alive_count token 167 24
<= sm_eq 167 26
1 number 167 27
; ; 167 28
end end 168 7
else else 168 12
if if 168 15
( ( 168 17
! ! 168 18
enables token 168 25
[ [ 168 26
0 number 168 27
] ] 168 28
) ) 168 29
begin begin 168 35
keep_alive_count token 169 24
<= sm_eq 169 26
keep_alive_count token 169 42
+ + 169 43
1 number 169 44
; ; 169 45
end end 170 7
else else 170 12
begin begin 170 18
keep_alive_count token 171 24
<= sm_eq 171 26
1 number 171 27
; ; 171 28
end end 172 7
end end 173 3
wire wire 174 4
keep_alive token 174 15
= = 174 17
keep_alive_count token 174 34
== eq_eq 174 36
0 number 174 37
; ; 174 38
reg reg 178 3
[ [ 178 5
7 number 178 6
: : 178 7
0 number 178 8
] ] 178 9
txfifo token 178 16
[ [ 178 18
0 number 178 19
: : 178 20
17 number 178 22
] ] 178 23
; ; 178 24
reg reg 179 3
[ [ 179 5
4 number 179 6
: : 179 7
0 number 179 8
] ] 179 9
txptr token 179 15
; ; 179 16
reg reg 180 3
txactive token 180 12
; ; 180 13
reg reg 181 3
add_crlf token 181 12
; ; 181 13
assign assign 182 6
txdata token 182 13
= = 182 15
( ( 182 17
! ! 182 18
txactive token 182 26
&& and_and 182 29
write_tx token 182 38
) ) 182 39
? ? 182 41
rxfifo token 182 48
[ [ 182 49
0 number 182 50
] ] 182 51
: : 182 53
add_crlf token 182 62
? ? 182 64
CRLF token 182 69
: : 182 71
txfifo token 182 78
[ [ 182 79
txptr token 182 84
] ] 182 85
; ; 182 86
wire wire 183 4
txstart_pread token 183 18
; ; 183 19
reg reg 185 3
txactive0 token 185 13
; ; 185 14
always always 186 6
@ @ 186 8
( ( 186 9
posedge posedge 186 16
clk token 186 20
or or 186 23
negedge negedge 186 31
resetn token 186 38
) ) 186 39
begin begin 186 45
if if 187 6
( ( 187 8
! ! 187 9
resetn token 187 15
) ) 187 16
begin begin 187 22
txptr token 188 13
<= sm_eq 188 15
0 number 188 16
; ; 188 17
txactive token 189 16
<= sm_eq 189 18
0 number 189 19
; ; 189 20
txactive0 token 190 17
<= sm_eq 190 19
0 number 190 20
; ; 190 21
write_tx token 191 16
<= sm_eq 191 18
0 number 191 19
; ; 191 20
add_crlf token 192 14
<= sm_eq 192 16
0 number 192 17
; ; 192 18
end end 193 7
else else 193 12
begin begin 193 18
txactive token 194 16
<= sm_eq 194 19
txactive0 token 194 29
; ; 194 30
if if 195 10
( ( 195 12
! ! 195 13
txactive token 195 21
) ) 195 22
begin begin 195 28
write_tx token 196 20
<= sm_eq 196 22
command_pulse token 196 35
; ; 196 36
if if 197 14
( ( 197 16
txstart_pread token 197 29
) ) 197 30
begin begin 197 36
txptr token 198 21
<= sm_eq 198 23
0 number 198 24
; ; 198 25
txactive0 token 199 25
<= sm_eq 199 27
1 number 199 28
; ; 199 29
end end 200 15
end end 201 11
else else 201 16
begin begin 201 22
if if 202 14
( ( 202 16
write_tx token 202 24
) ) 202 25
begin begin 202 31
write_tx token 203 24
<= sm_eq 203 26
0 number 203 27
; ; 203 28
txptr token 204 21
<= sm_eq 204 23
txptr token 204 28
+ + 204 29
1 number 204 30
; ; 204 31
if if 205 18
( ( 205 20
add_crlf token 205 28
) ) 205 29
begin begin 205 35
add_crlf token 206 28
<= sm_eq 206 30
0 number 206 31
; ; 206 32
txactive0 token 207 29
<= sm_eq 207 31
0 number 207 32
; ; 207 33
end end 208 19
end end 209 15
else else 209 20
if if 209 23
( ( 209 25
( ( 209 26
txptr token 209 31
== eq_eq 209 33
18 number 209 35
) ) 209 36
|| or_or 209 38
( ( 209 39
txfifo token 209 45
[ [ 209 46
txptr token 209 51
] ] 209 52
== eq_eq 209 54
0 number 209 55
) ) 209 56
) ) 209 57
begin begin 209 63
add_crlf token 210 24
<= sm_eq 210 26
1 number 210 27
; ; 210 28
txptr token 211 21
